"Step","stellar-cloud-1 - train/loss","stellar-cloud-1 - train/loss__MIN","stellar-cloud-1 - train/loss__MAX"
"472","1.2936","1.2936","1.2936"
"473","1.5077","1.5077","1.5077"
"474","1.3332","1.3332","1.3332"
"475","2.0613","2.0613","2.0613"
"476","1.6328","1.6328","1.6328"
"477","1.8134","1.8134","1.8134"
"478","1.1315","1.1315","1.1315"
"479","1.6576","1.6576","1.6576"
"480","2.0169","2.0169","2.0169"
"481","1.6202","1.6202","1.6202"
"482","1.3954","1.3954","1.3954"
"483","1.4981","1.4981","1.4981"
"484","2.4153","2.4153","2.4153"
"485","2.0319","2.0319","2.0319"
"486","1.2714","1.2714","1.2714"
"487","1.529","1.529","1.529"
"488","1.9084","1.9084","1.9084"
"489","1.9721","1.9721","1.9721"
"490","2.0303","2.0303","2.0303"
"491","1.6077","1.6077","1.6077"
"492","1.6126","1.6126","1.6126"
"493","2.0231","2.0231","2.0231"
"494","1.5641","1.5641","1.5641"
"495","1.2547","1.2547","1.2547"
"496","1.322","1.322","1.322"
"497","1.5237","1.5237","1.5237"
"498","1.6128","1.6128","1.6128"
"499","1.5391","1.5391","1.5391"
"500","1.463","1.463","1.463"
"501","1.7835","1.7835","1.7835"
"502","1.821","1.821","1.821"
"503","1.4186","1.4186","1.4186"
"504","1.7039","1.7039","1.7039"
"505","1.4148","1.4148","1.4148"
"506","1.5542","1.5542","1.5542"
"507","1.9769","1.9769","1.9769"
"508","1.9707","1.9707","1.9707"
"509","1.6257","1.6257","1.6257"
"510","1.5895","1.5895","1.5895"
"511","1.1345","1.1345","1.1345"
"512","1.7425","1.7425","1.7425"
"513","1.3141","1.3141","1.3141"
"514","2.1826","2.1826","2.1826"
"515","1.6214","1.6214","1.6214"
"516","1.4393","1.4393","1.4393"
"517","1.4585","1.4585","1.4585"
"518","2.6598","2.6598","2.6598"
"519","1.6345","1.6345","1.6345"
"520","1.4603","1.4603","1.4603"
"521","1.0322","1.0322","1.0322"
"522","1.343","1.343","1.343"
"523","1.4666","1.4666","1.4666"
"524","1.4464","1.4464","1.4464"
"525","1.725","1.725","1.725"
"526","1.8167","1.8167","1.8167"
"527","1.8927","1.8927","1.8927"
"528","1.1687","1.1687","1.1687"
"529","1.5685","1.5685","1.5685"
"530","1.5847","1.5847","1.5847"
"531","1.3619","1.3619","1.3619"
"532","1.4078","1.4078","1.4078"
"533","1.9166","1.9166","1.9166"
"534","1.4402","1.4402","1.4402"
"535","1.6977","1.6977","1.6977"
"536","1.8106","1.8106","1.8106"
"537","1.6242","1.6242","1.6242"
"538","1.6114","1.6114","1.6114"
"539","1.4646","1.4646","1.4646"
"540","1.1463","1.1463","1.1463"
"541","1.4653","1.4653","1.4653"
"542","1.4114","1.4114","1.4114"
"543","1.8009","1.8009","1.8009"
"544","2.2051","2.2051","2.2051"
"545","1.26","1.26","1.26"
"546","1.515","1.515","1.515"
"547","2.0483","2.0483","2.0483"
"548","2.281","2.281","2.281"
"549","1.8236","1.8236","1.8236"
"550","1.2731","1.2731","1.2731"
"551","1.5606","1.5606","1.5606"
"552","1.5005","1.5005","1.5005"
"553","1.7146","1.7146","1.7146"
"554","1.4406","1.4406","1.4406"
"555","1.4543","1.4543","1.4543"
"556","1.533","1.533","1.533"
"557","1.4353","1.4353","1.4353"
"558","1.5041","1.5041","1.5041"
"559","1.7579","1.7579","1.7579"
"560","1.5107","1.5107","1.5107"
"561","1.4657","1.4657","1.4657"
"562","2.66","2.66","2.66"
"563","1.3947","1.3947","1.3947"
"564","1.3839","1.3839","1.3839"
"565","1.1985","1.1985","1.1985"
"566","1.4369","1.4369","1.4369"
"567","1.3355","1.3355","1.3355"
"568","1.7242","1.7242","1.7242"
"569","1.4964","1.4964","1.4964"
"570","1.7002","1.7002","1.7002"
"571","1.1692","1.1692","1.1692"
"572","1.3169","1.3169","1.3169"
"573","1.5493","1.5493","1.5493"
"574","1.8442","1.8442","1.8442"
"575","1.5194","1.5194","1.5194"
"576","1.6232","1.6232","1.6232"
"577","1.7415","1.7415","1.7415"
"578","1.3646","1.3646","1.3646"
"579","1.5205","1.5205","1.5205"
"580","1.1902","1.1902","1.1902"
"581","1.5238","1.5238","1.5238"
"582","1.4926","1.4926","1.4926"
"583","1.7548","1.7548","1.7548"
"584","1.755","1.755","1.755"
"585","1.9824","1.9824","1.9824"
"586","1.1734","1.1734","1.1734"
"587","1.4818","1.4818","1.4818"
"588","1.7275","1.7275","1.7275"
"589","1.629","1.629","1.629"
"590","1.4217","1.4217","1.4217"
"591","1.5134","1.5134","1.5134"
"592","1.4029","1.4029","1.4029"
"593","1.5597","1.5597","1.5597"
"594","1.5683","1.5683","1.5683"
"595","1.3444","1.3444","1.3444"
"596","1.9761","1.9761","1.9761"
"597","1.6785","1.6785","1.6785"
"598","1.4936","1.4936","1.4936"
"599","1.4058","1.4058","1.4058"
"600","1.3787","1.3787","1.3787"
"601","1.302","1.302","1.302"
"602","1.3538","1.3538","1.3538"
"603","1.4729","1.4729","1.4729"
"604","1.3439","1.3439","1.3439"
"605","1.7399","1.7399","1.7399"
"606","1.1067","1.1067","1.1067"
"607","1.1175","1.1175","1.1175"
"608","2.032","2.032","2.032"
"609","1.8021","1.8021","1.8021"
"610","1.5753","1.5753","1.5753"
"611","1.1613","1.1613","1.1613"
"612","1.6384","1.6384","1.6384"
"613","1.3813","1.3813","1.3813"
"614","2.337","2.337","2.337"
"615","1.7578","1.7578","1.7578"
"616","1.7002","1.7002","1.7002"
"617","1.5358","1.5358","1.5358"
"618","1.525","1.525","1.525"
"619","1.6319","1.6319","1.6319"
"620","1.2969","1.2969","1.2969"
"621","1.1951","1.1951","1.1951"
"622","1.3824","1.3824","1.3824"
"623","1.2521","1.2521","1.2521"
"624","1.4716","1.4716","1.4716"
"625","1.4228","1.4228","1.4228"
"626","1.5039","1.5039","1.5039"
"627","1.5139","1.5139","1.5139"
"628","1.6596","1.6596","1.6596"
"629","1.8185","1.8185","1.8185"
"630","1.3973","1.3973","1.3973"
"631","1.5728","1.5728","1.5728"
"632","1.0477","1.0477","1.0477"
"633","1.4172","1.4172","1.4172"
"634","1.434","1.434","1.434"
"635","1.3301","1.3301","1.3301"
"636","1.2274","1.2274","1.2274"
"637","1.8952","1.8952","1.8952"
"638","1.5899","1.5899","1.5899"
"639","1.4789","1.4789","1.4789"
"640","1.7682","1.7682","1.7682"
"641","1.5251","1.5251","1.5251"
"642","1.7573","1.7573","1.7573"
"643","1.2993","1.2993","1.2993"
"644","1.686","1.686","1.686"
"645","1.1547","1.1547","1.1547"
"646","1.4736","1.4736","1.4736"
"647","1.9924","1.9924","1.9924"
"648","1.4143","1.4143","1.4143"
"649","1.2572","1.2572","1.2572"
"650","1.5069","1.5069","1.5069"
"651","1.5856","1.5856","1.5856"
"652","1.4812","1.4812","1.4812"
"653","1.4946","1.4946","1.4946"
"654","1.7647","1.7647","1.7647"
"655","1.2348","1.2348","1.2348"
"656","1.1835","1.1835","1.1835"
"657","1.5305","1.5305","1.5305"
"658","1.9007","1.9007","1.9007"
"659","1.2896","1.2896","1.2896"
"660","1.1822","1.1822","1.1822"
"661","2.5869","2.5869","2.5869"
"662","1.3053","1.3053","1.3053"
"663","1.2082","1.2082","1.2082"
"664","1.4325","1.4325","1.4325"
"665","1.4282","1.4282","1.4282"
"666","1.2716","1.2716","1.2716"
"667","1.7369","1.7369","1.7369"
"668","1.5641","1.5641","1.5641"
"669","1.6544","1.6544","1.6544"
"670","1.6173","1.6173","1.6173"
"671","1.7527","1.7527","1.7527"
"672","1.9479","1.9479","1.9479"
"673","1.8813","1.8813","1.8813"
"674","2.0032","2.0032","2.0032"
"675","1.4747","1.4747","1.4747"
"676","1.3694","1.3694","1.3694"
"677","1.4337","1.4337","1.4337"
"678","1.488","1.488","1.488"
"679","1.52","1.52","1.52"
"680","1.4225","1.4225","1.4225"
"681","1.2621","1.2621","1.2621"
"682","1.5714","1.5714","1.5714"
"683","1.4877","1.4877","1.4877"
"684","1.1596","1.1596","1.1596"
"685","2.0427","2.0427","2.0427"
"686","1.429","1.429","1.429"
"687","1.4769","1.4769","1.4769"
"688","1.0813","1.0813","1.0813"
"689","1.2906","1.2906","1.2906"
"690","1.7073","1.7073","1.7073"
"691","1.4752","1.4752","1.4752"
"692","1.2075","1.2075","1.2075"
"693","1.5624","1.5624","1.5624"
"694","1.8691","1.8691","1.8691"
"695","1.0942","1.0942","1.0942"
"696","1.0884","1.0884","1.0884"
"697","1.1805","1.1805","1.1805"
"698","1.733","1.733","1.733"
"699","1.2526","1.2526","1.2526"
"700","1.5103","1.5103","1.5103"
"701","1.5026","1.5026","1.5026"
"702","1.7993","1.7993","1.7993"
"703","1.508","1.508","1.508"
"704","1.6063","1.6063","1.6063"
"705","2.1012","2.1012","2.1012"
"706","1.4128","1.4128","1.4128"
"707","1.7484","1.7484","1.7484"
"708","2.0471","2.0471","2.0471"
"709","1.3734","1.3734","1.3734"
"710","1.617","1.617","1.617"
"711","1.7806","1.7806","1.7806"
"712","1.5143","1.5143","1.5143"
"713","1.5971","1.5971","1.5971"
"714","1.7057","1.7057","1.7057"
"715","1.2373","1.2373","1.2373"
"716","1.4732","1.4732","1.4732"
"717","1.6949","1.6949","1.6949"
"718","2.3454","2.3454","2.3454"
"719","1.5066","1.5066","1.5066"
"720","1.5409","1.5409","1.5409"
"721","1.2622","1.2622","1.2622"
"722","1.5044","1.5044","1.5044"
"723","1.5962","1.5962","1.5962"
"724","1.3435","1.3435","1.3435"
"725","1.8526","1.8526","1.8526"
"726","1.2301","1.2301","1.2301"
"727","1.5049","1.5049","1.5049"
"728","1.4908","1.4908","1.4908"
"729","1.5473","1.5473","1.5473"
"730","1.0905","1.0905","1.0905"
"731","1.6442","1.6442","1.6442"
"732","1.6271","1.6271","1.6271"
"733","1.1719","1.1719","1.1719"
"734","1.6128","1.6128","1.6128"
"735","1.5439","1.5439","1.5439"
