"Step","solar-firebrand-9 - train/loss","solar-firebrand-9 - train/loss__MIN","solar-firebrand-9 - train/loss__MAX"
"688","1.3978","1.3978","1.3978"
"689","1.4809","1.4809","1.4809"
"690","1.5495","1.5495","1.5495"
"691","1.3079","1.3079","1.3079"
"692","1.3444","1.3444","1.3444"
"693","1.7188","1.7188","1.7188"
"694","1.5149","1.5149","1.5149"
"695","1.1274","1.1274","1.1274"
"696","1.4739","1.4739","1.4739"
"697","1.6626","1.6626","1.6626"
"698","1.8583","1.8583","1.8583"
"699","1.5888","1.5888","1.5888"
"700","1.2986","1.2986","1.2986"
"701","1.7645","1.7645","1.7645"
"702","1.1932","1.1932","1.1932"
"703","1.9718","1.9718","1.9718"
"704","1.8945","1.8945","1.8945"
"705","1.4488","1.4488","1.4488"
"706","1.4581","1.4581","1.4581"
"707","1.5112","1.5112","1.5112"
"708","1.5083","1.5083","1.5083"
"709","1.5858","1.5858","1.5858"
"710","0.8977","0.8977","0.8977"
"711","1.7646","1.7646","1.7646"
"712","1.3581","1.3581","1.3581"
"713","1.5863","1.5863","1.5863"
"714","1.6416","1.6416","1.6416"
"715","1.5428","1.5428","1.5428"
"716","1.6014","1.6014","1.6014"
"717","1.8165","1.8165","1.8165"
"718","1.8131","1.8131","1.8131"
"719","1.6953","1.6953","1.6953"
"720","1.6493","1.6493","1.6493"
"721","1.2878","1.2878","1.2878"
"722","1.6206","1.6206","1.6206"
"723","1.4425","1.4425","1.4425"
"724","1.5862","1.5862","1.5862"
"725","1.1932","1.1932","1.1932"
"726","1.6427","1.6427","1.6427"
"727","1.2416","1.2416","1.2416"
"728","1.5332","1.5332","1.5332"
"729","1.5072","1.5072","1.5072"
"730","2.0194","2.0194","2.0194"
"731","1.2425","1.2425","1.2425"
"732","1.3407","1.3407","1.3407"
"733","1.3997","1.3997","1.3997"
"734","1.6763","1.6763","1.6763"
