Wall time,Step,Value
1701931492.8780532,21052,2.490062952041626
1701931507.0206733,21129,2.205007314682007
1701931532.4300604,21267,3.6886417865753174
1701931540.1971068,21311,2.63883900642395
1701931607.9303353,21676,2.8436567783355713
1701931677.9895892,22063,1.369199514389038
1701931696.1931684,22162,2.100011110305786
1701931794.7315705,22702,2.707134962081909
1701931863.2763462,23071,2.048797607421875
1701931869.650426,23106,2.0016729831695557
1701931923.9147587,23406,2.6524088382720947
1701931924.0294485,23407,1.8306684494018555
1701931941.1067722,23500,2.1018900871276855
1701931957.4199114,23589,1.867423415184021
1701932101.039046,24378,2.1936097145080566
1701932117.4708827,24469,1.3805460929870605
1701932118.201322,24473,1.5317591428756714
1701932163.4506967,24718,4.244464874267578
1701932170.6832142,24758,3.0082247257232666
1701932183.5191464,24828,2.0145182609558105
1701932204.3870206,24938,1.8537392616271973
1701932214.2041903,24991,1.5622944831848145
1701932226.1785755,25053,2.601229429244995
1701932237.3526075,25112,2.0069684982299805
1701932262.1541564,25249,3.1491012573242188
1701932303.2609303,25444,2.317291021347046
1701932341.1597795,25649,2.5299880504608154
1701932353.174586,25715,2.6430375576019287
1701932392.5007105,25929,2.4873173236846924
1701932456.1698678,26263,2.261319160461426
1701932463.73159,26303,3.320053815841675
1701932477.6188872,26377,1.649479627609253
1701932527.3805616,26646,1.535216212272644
1701932535.765851,26693,1.4663619995117188
1701932558.596404,26816,1.843653678894043
1701932596.1032739,27014,1.843825101852417
1701932599.5835376,27029,1.2597827911376953
1701932613.6479526,27104,1.7822047472000122
1701932651.6391273,27308,1.2981033325195312
1701932740.8102446,27792,2.5396389961242676
1701932748.1612113,27833,0.9979073405265808
1701932759.2143042,27894,2.3196306228637695
1701932780.226777,28006,1.4439301490783691
1701932787.3615673,28045,1.476647138595581
1701932798.2966769,28102,1.3254040479660034
1701932926.9889321,28794,2.3358688354492188
1701932959.5704527,28972,1.7783513069152832
1701932961.72701,28984,2.0665669441223145
1701933022.980101,29310,2.0528388023376465
1701933055.8905728,29490,2.263824939727783
1701933069.516848,29565,1.338399052619934
1701933079.4978018,29620,1.8710994720458984
1701933082.3207176,29636,1.3691202402114868
1701933089.6886024,29677,2.0117814540863037
1701933109.611857,29784,2.4408130645751953
1701933118.228237,29831,1.8736122846603394
1701933121.2137809,29848,1.8505098819732666
1701933126.0577936,29874,2.017629384994507
1701933159.9082282,30055,1.8166781663894653
1701933162.0725,30067,1.4168189764022827
1701933164.4869354,30080,1.9895159006118774
1701933205.959325,30300,2.6089203357696533
1701933279.655288,30703,1.5766440629959106
1701933320.0660722,30919,2.3217899799346924
1701933327.1685488,30959,1.8672460317611694
1701933328.6334722,30967,2.363065242767334
1701933336.6171513,31006,1.9519202709197998
1701933380.1434224,31244,1.842321515083313
1701933405.0688975,31376,1.5983632802963257
1701933411.3864927,31410,2.042302131652832
1701933457.5854435,31660,2.1523537635803223
1701933502.0257354,31902,2.274110794067383
1701933504.9010344,31918,1.903612494468689
1701933511.2653382,31953,2.8445229530334473
1701933515.4836118,31976,2.187272071838379
1701933523.235584,32014,1.868725299835205
1701933614.4357235,32507,2.133040428161621
1701933670.749874,32811,1.9462969303131104
1701933673.0100162,32824,1.9622081518173218
1701933757.9663236,33279,1.8481838703155518
1701933781.3860705,33408,2.9099833965301514
1701933835.4176488,33701,1.5059292316436768
1701933853.9000993,33803,2.205901622772217
1701933864.9375157,33864,2.0174787044525146
1701933976.1235182,34464,1.5244766473770142
1701934066.0669622,34951,1.7911758422851562
1701934068.8428986,34967,1.6984505653381348
1701934102.2370527,35140,1.7753677368164062
1701934116.4165118,35217,1.6313318014144897
1701934145.8509722,35377,2.3648247718811035
1701934163.9278286,35477,1.8564910888671875
1701934177.4722342,35551,1.8838684558868408
1701934205.8911772,35704,1.658935308456421
1701934243.9352522,35913,1.7637900114059448
1701934250.2682285,35948,2.1870245933532715
1701934353.1539805,36501,1.7830119132995605
1701934388.0523443,36694,2.5201103687286377
1701934424.3110535,36888,1.7983981370925903
1701934424.8876984,36891,2.2303905487060547
1701934426.9600637,36903,2.363102912902832
1701934444.0331228,36996,1.8379954099655151
1701934457.8884099,37065,2.120814561843872
1701934460.3422704,37079,2.498183488845825
1701934467.1560016,37116,2.2363643646240234
1701934479.0228734,37182,2.2825660705566406
1701934568.8826277,37674,2.452169895172119
1701934582.578285,37749,2.0540645122528076
1701934617.8681698,37937,2.030057430267334
1701934702.177985,38386,1.9156417846679688
1701934702.300732,38387,1.7175277471542358
1701934705.9746807,38408,1.7772037982940674
1701934720.4137492,38487,1.7769426107406616
1701934779.261771,38805,2.355485439300537
1701934785.2768285,38839,1.5472440719604492
1701934793.7372255,38880,1.8815375566482544
1701934796.9453337,38898,1.722025990486145
1701934821.0611973,39025,2.0235095024108887
1701934925.5463035,39588,1.9383896589279175
1701934948.2005339,39712,2.26676344871521
1701935023.4650204,40110,1.8465617895126343
1701935046.3498592,40236,2.156066417694092
1701935048.6830442,40249,1.7996848821640015
1701935064.0883286,40332,1.933380365371704
1701935079.5099204,40416,1.7747042179107666
1701935102.7347126,40540,2.177586317062378
1701935116.7457168,40617,2.0935490131378174
1701935149.179623,40793,2.0297083854675293
1701935176.4000313,40942,1.7744189500808716
1701935201.5775638,41073,1.8213977813720703
1701935256.7401543,41374,1.6604164838790894
1701935275.120796,41473,1.8667097091674805
1701935287.156323,41536,1.693209171295166
1701935288.1064591,41541,1.9691479206085205
1701935293.305556,41566,1.8772157430648804
1701935331.064338,41772,2.021383047103882
1701935367.1469576,41968,1.614868402481079
1701935375.9396608,42012,1.9215888977050781
1701935398.8326666,42131,1.6582626104354858
1701935459.3340137,42461,2.0444376468658447
1701935473.2563508,42535,1.958348274230957
1701935532.078998,42855,2.155074119567871
1701935549.695608,42951,2.072258234024048
1701935584.404715,43138,2.279817819595337
1701935602.373046,43231,2.1883275508880615
1701935614.3842497,43296,1.411630392074585
1701935672.3643448,43611,2.1307144165039062
1701935703.2411575,43777,1.8067052364349365
1701935792.4564967,44255,2.0817785263061523
1701935797.5140915,44283,2.408196210861206
1701935809.6020253,44349,1.980676293373108
1701935812.2401645,44363,1.8042731285095215
1701935830.6308594,44463,2.567396640777588
1701935834.3991065,44484,1.8067561388015747
1701935841.326078,44522,1.7750579118728638
1701935876.129346,44711,1.4305319786071777
1701935878.3621707,44724,1.9219505786895752
1701935879.558214,44730,1.7875008583068848
1701935885.4720457,44761,1.7598730325698853
1701935925.494993,44976,2.170071601867676
1701936002.8800874,45385,2.0440833568573
1701936010.454766,45427,2.050076723098755
1701936168.4913678,46274,2.0174458026885986
1701936209.5875561,46492,2.3334288597106934
1701936231.2896638,46610,1.7183836698532104
1701936282.316197,46890,1.8086097240447998
1701936315.6051693,47063,1.9260271787643433
1701936316.3660698,47067,2.146862506866455
1701936319.1992068,47083,1.6876485347747803
1701936324.4995687,47112,2.180562734603882
1701936333.0057693,47159,1.607527494430542
1701936336.7736418,47178,1.7030107975006104
1701936359.8430877,47304,1.8222171068191528
1701936367.9540982,47348,2.1901843547821045
1701936404.7114072,47546,1.710191011428833
1701936419.5518143,47625,1.9787274599075317
1701936447.3616078,47777,2.1974685192108154
1701936487.6016517,47999,2.3091676235198975
1701936523.8616984,48189,1.6442062854766846
1701936534.4252882,48247,2.116760492324829
1701936559.8421116,48385,1.8030129671096802
1701936582.3999648,48510,1.5241273641586304
1701936606.1440465,48635,1.8379768133163452
1701936617.207013,48696,1.7400786876678467
1701936621.0061889,48717,1.8980680704116821
1701936643.8550055,48843,1.7768245935440063
1701936704.3883617,49165,1.9014091491699219
1701936723.557073,49268,2.008268356323242
1701936731.9753387,49314,1.966322898864746
1701936762.9634852,49483,2.338884115219116
1701936801.9473228,49691,1.7695214748382568
1701936813.1173737,49752,1.7266104221343994
1701936833.6265163,49864,1.745647668838501
1701936861.4145947,50010,1.8595900535583496
1701936908.1663098,50261,2.0351319313049316
1701936952.4255288,50505,2.146923542022705
1701936976.713017,50639,2.140589952468872
1701936987.3217645,50697,1.8526406288146973
1701937192.3880231,51797,1.5349119901657104
1701937216.7492685,51930,2.2721269130706787
1701937217.7892501,51936,2.0315773487091064
1701937224.2979827,51971,1.7624531984329224
1701937232.574628,52013,1.616632103919983
1701937271.9378324,52229,2.264209270477295
1701937278.3312197,52263,1.6496421098709106
1701937296.3996081,52352,1.80792236328125
1701937298.535966,52364,1.9171546697616577
1701937304.9131172,52399,2.1003968715667725
1701937330.41678,52539,2.235196590423584
1701937353.4750087,52666,1.6203593015670776
1701937409.0964234,52967,1.39449942111969
1701937430.674449,53082,1.4556093215942383
1701937462.0896301,53254,2.0827748775482178
1701937529.9346046,53623,1.703662633895874
1701937607.8361716,54041,1.7069480419158936
1701937684.8606489,54458,1.78407621383667
1701937710.2163706,54592,1.708608627319336
1701937742.3006425,54766,2.149031162261963
1701937800.664748,55079,1.769083857536316
1701937813.3493192,55148,1.6077940464019775
1701937853.605405,55367,1.8600702285766602
1701937877.5124722,55499,1.6226582527160645
1701937894.1127622,55586,1.9729031324386597
1701937901.9283488,55629,1.6366134881973267
1701937918.2608688,55718,1.7793028354644775
1701937946.323661,55870,2.3103466033935547
1701937966.8753405,55982,2.3623239994049072
1701937973.052099,56011,1.8602620363235474
1701938025.1909857,56291,1.996731162071228
1701938060.150147,56481,2.0721583366394043
1701938144.1999624,56932,1.9145201444625854
1701938149.2043178,56959,1.6786803007125854
1701938170.030564,57066,1.9834052324295044
1701938235.1679547,57412,1.7765426635742188
1701938242.3892305,57451,1.5402421951293945
1701938305.559038,57792,1.7741481065750122
1701938324.9833589,57898,2.160036563873291
1701938333.4193923,57944,1.7820372581481934
1701938339.570133,57978,1.271388292312622
1701938376.0809014,58170,1.3664131164550781
1701938418.4504821,58397,1.7509880065917969
1701938419.9550898,58405,1.620434284210205
1701938427.366455,58447,2.0360069274902344
1701938459.2298772,58615,1.795453429222107
1701938466.4682932,58655,1.2556068897247314
1701938487.2907782,58766,1.8164857625961304
1701938506.0423293,58865,1.9229702949523926
1701938542.338111,59057,1.4837753772735596
1701938621.3423915,59485,1.506715178489685
1701938633.4795423,59553,2.7408249378204346
1701938716.8850935,60001,2.6073100566864014
1701938769.6034899,60280,1.6052805185317993
1701938797.8889537,60431,1.7859829664230347
1701938895.732032,60958,2.0661635398864746
1701938975.5738902,61386,1.9437942504882812
1701938977.9034967,61398,1.8416917324066162
1701939041.6343658,61742,1.6306819915771484
1701939071.3403523,61904,1.7137949466705322
1701939083.068538,61969,1.8169187307357788
1701939086.9838948,61990,2.0385165214538574
1701939099.9103696,62052,1.6934691667556763
1701939154.0095522,62344,2.589691400527954
1701939161.7256072,62386,1.7565116882324219
1701939242.0313365,62820,1.8508614301681519
1701939269.0452943,62968,1.694826364517212
1701939381.8093753,63568,1.8071153163909912
1701939391.8506615,63622,1.661364197731018
1701939404.191007,63687,1.4206591844558716
1701939444.7036428,63905,1.4948716163635254
1701939479.8753483,64091,1.856591820716858
1701939556.539696,64499,1.584867000579834
1701939629.1324625,64894,1.775851845741272
1701939635.280795,64928,1.9086682796478271
1701939710.217247,65325,1.6119391918182373
1701939726.8649833,65417,1.5699883699417114
1701939732.2017865,65445,1.2051615715026855
1701939753.232947,65558,1.8342891931533813
1701939776.4104042,65684,1.8618121147155762
1701939783.434176,65722,1.5681047439575195
1701939806.1059294,65841,1.9142180681228638
1701939809.1147735,65858,1.5112184286117554
1701939822.9814086,65933,1.601251244544983
1701939827.2498727,65956,2.236825704574585
1701939832.973905,65987,1.5827186107635498
1701939874.7595406,66210,1.977958083152771
1701939878.4009297,66230,3.2284586429595947
1701939880.8585594,66244,2.0021238327026367
1701939889.7924612,66292,1.8160369396209717
1701939930.6135685,66509,1.6181538105010986
1701939957.0673637,66652,1.9701159000396729
